prédikunarstólinn,    ˈpʰrɛːtɪkʏnarstouːlɪn
kránum,                ˈkʰrauːnʏm
krárnar,               ˈkʰraurtnar
krásaborð,             ˈkʰrauːsapɔrð
krækja,                ˈkʰraiːca
kræklingi,             ˈkʰraihkliɲcɪ
krækt,                ˈkʰraixt
krækti,                ˈkʰraixtɪ
kræktu,                ˈkʰraixtʏ
kræla,                ˈkʰraiːla
kræsingar,             ˈkʰraiːsiŋkar
kræsingum,             ˈkʰraiːsiŋkʏm
kræst,                ˈkʰraist
kría,                 ˈkʰriːja
krían,                ˈkʰriːan
kríli,                ˈkʰriːlɪ
krílinu,               ˈkʰriːlɪnʏ
krímugu,               ˈkʰriːmʏɣʏ
krísuvík,              ˈkʰriːsʏviːk
krít,                 ˈkʰriːt
krítar,                ˈkʰriːtar
krítarkortum,          ˈkʰriːtarkʰɔr̥tʏm
kríur,                ˈkʰriːjʏr
kríurnar,              ˈkʰriːjʏrtnar
króa,                 ˈkʰrouːa
króata,                ˈkʰrouːata
króatar,               ˈkʰrouːatar
króatía,               ˈkʰrouːatija
króatíu,               ˈkʰrouːatijʏ
króað,                ˈkʰrouːað
króaði,                ˈkʰrouːaðɪ
króaður,               ˈkʰrouːaðʏr
krók,                 ˈkʰrouːk
króka,                ˈkʰrouːka
krókabáta,             ˈkʰrouːkapauːta
krókaleiðum,           ˈkʰrouːkaleiːðʏm
krókana,               ˈkʰrouːkana
krókdal,               ˈkʰrouːktal
krókhálsi,             ˈkʰrouːkhaulsɪ
krókinn,               ˈkʰrouːcɪn
króknum,               ˈkʰrouhknʏm
krókum,                ˈkʰrouːkʏm
krókur,                ˈkʰrouːkʏr
krómað,                ˈkʰrouːmað
krómaða,               ˈkʰrouːmaða
króms,                ˈkʰroums
króna,                ˈkʰrouːna
krónan,                ˈkʰrouːnan
krónni,                ˈkʰrounɪ
krónosar,              ˈkʰrouːnɔsar
krónprins,            ˈkʰrounprɪns
krónu,                ˈkʰrouːnʏ
krónum,                ˈkʰrouːnʏm
krónuna,               ˈkʰrouːnʏna
krónunnar,             ˈkʰrouːnʏnar
krónunni,              ˈkʰrouːnʏnɪ
krónur,                ˈkʰrouːnʏr
krónuverð,             ˈkʰrouːnʏvɛrð
kröflu,                ˈkʰrœplʏ
kröftug,               ˈkʰrœftʏɣ
kröftuga,              ˈkʰrœftʏɣa
kröftuglega,           ˈkʰrœftʏɣlɛɣa
kröftugri,             ˈkʰrœftʏɣrɪ
kröftugt,              ˈkʰrœftʏxt
kröftugum,             ˈkʰrœftʏɣʏm
kröftugur,             ˈkʰrœftʏɣʏr
kröftum,               ˈkʰrœftʏm
kröfu,                ˈkʰrœːvʏ
kröfuganga,           ˈkʰrœːvʏkauŋka
kröfugerð,            ˈkʰrœːvʏcɛrð
kröfugerðar,           ˈkʰrœːvʏcɛrðar
kröfugerðir,           ˈkʰrœːvʏcɛrðɪr
kröfugönguna,          ˈkʰrœːvʏkœiŋkʏna
kröfuhafi,            ˈkʰrœːvʏhaːvɪ
kröfuharður,          ˈkʰrœːvʏharðʏr
kröfuhörð,             ˈkʰrœːvʏhœrð
kröfulausa,            ˈkʰrœːvʏlœisa
kröfulýsingu,          ˈkʰrœːvʏliːsiŋkʏ
kröfum,                ˈkʰrœːvʏm
kröfuna,               ˈkʰrœːvʏna
kröfunni,              ˈkʰrœːvʏnɪ
kröfur,                ˈkʰrœːvʏr
kröfurnar,             ˈkʰrœːvʏrtnar
kröfðust,              ˈkʰrœvðʏst
kröijers,              ˈkʰrœɪjɛr̥s
krökk,                ˈkʰrœhk
krökkum,               ˈkʰrœhkʏm
krökkunum,             ˈkʰrœhkɔnʏm
kröpp,                ˈkʰrœhp
kröppu,                ˈkʰrœhpʏ
kröppum,               ˈkʰrœhpʏm
krúnunnar,             ˈkʰruːnʏnar
krús,                 ˈkʰruːs
krúsin,                ˈkʰruːsɪn
krúsina,               ˈkʰruːsɪna
krúsir,                ˈkʰruːsɪr
krúsirnar,             ˈkʰruːsɪrtnar
krútt,                ˈkʰruht
krúttin,               ˈkʰruhtɪn
krýp,                 ˈkʰriːp
krýpur,                ˈkʰriːpʏr
krýsuvík,              ˈkʰriːsʏviːk
krýsuvíkursamtökin,    ˈkʰriːsʏvikʏrsamtœcɪn
ku,                   ˈkʰʏː
kubb,                 ˈkʰʏp
kubbasett,             ˈkʰʏpasɛht
kubbasettið,           ˈkʰʏpasɛhtɪð
kubbum,                ˈkʰʏpʏm
kufl,                 ˈkʰʏpl̥
kufli,                ˈkʰʏplɪ
kuflinn,               ˈkʰʏplɪn
kuflinum,              ˈkʰʏplɪnʏm
kuflum,                ˈkʰʏplʏm
kul,                  ˈkʰʏːl
kula,                 ˈkʰʏːla
kulda,                ˈkʰʏlta
kuldabotnfall,         ˈkʰʏltapɔhtn̥fatl̥
kuldahrollur,          ˈkʰʏltar̥ɔtlʏr
kuldakvein,            ˈkʰʏltakʰveiːn
kuldaleg,              ˈkʰʏltalɛɣ
kuldalega,             ˈkʰʏltalɛɣa
kuldalegt,             ˈkʰʏltalɛxt
kuldann,               ˈkʰʏltan
kuldanum,              ˈkʰʏltanʏm
kuldaskelfir,          ˈkʰʏltascɛlvɪr
kuldaskræfa,           ˈkʰʏltaskraiːva
kuldaskó,              ˈkʰʏltaskouː
kuldi,                ˈkʰʏltɪ
kuldinn,               ˈkʰʏltɪn
kulnun,                ˈkʰʏlnʏn
kulvísar,              ˈkʰʏlvisar
kumpána,               ˈkʰʏm̥pauna
kumpánar,              ˈkʰʏm̥paunar
kumpánleg,             ˈkʰʏm̥paunlɛɣ
kumpánlega,            ˈkʰʏm̥paunlɛɣa
kumraði,               ˈkʰʏmraðɪ
kunn,                 ˈkʰʏn
kunna,                ˈkʰʏna
kunnar,                ˈkʰʏnar
kunnastur,             ˈkʰʏnastʏr
kunnað,                ˈkʰʏnað
kunngerð,              ˈkʰʏncɛrð
kunngerði,             ˈkʰʏncɛrðɪ
kunngjörir,            ˈkʰʏɲcœrɪr
kunni,                ˈkʰʏnɪ
kunningi,              ˈkʰʏniɲcɪ
kunningja,             ˈkʰʏniɲca
kunningjar,            ˈkʰʏniɲcar
kunningjum,            ˈkʰʏniɲcʏm
kunningsskap,          ˈkʰʏniŋskaːp
kunningsskapar,        ˈkʰʏniŋskaːpar
kunningsskapur,        ˈkʰʏniŋskaːpʏr
kunnir,                ˈkʰʏnɪr
kunnra,                ˈkʰʏnra
kunnu,                ˈkʰʏnʏ
kunnug,                ˈkʰʏnʏɣ
kunnugir,              ˈkʰʏnʏijɪr
kunnugleg,             ˈkʰʏnʏɣlɛɣ
kunnuglega,            ˈkʰʏnʏɣlɛɣa
kunnuglegan,           ˈhʏnʏɣlɛɣan
kunnuglegt,            ˈkʰʏnʏɣlɛxt
kunnuglegu,            ˈkʰʏnʏɣlɛɣʏ
kunnuglegum,           ˈkʰʏnʏɣlɛɣʏm
kunnugra,              ˈkʰʏnʏɣra
kunnugt,               ˈkʰʏnʏxt
kunnugur,              ˈkʰʏnʏɣʏr
kunnum,                ˈkʰʏnʏm
kunnur,                ˈkʰʏnʏr
kunnustu,              ˈkʰʏnʏstʏ
kunnátta,              ˈkʰʏnauhta
kunnáttu,              ˈkʰʏnauhtʏ
kurl,                 ˈkʰʏrtl̥
kurr,                 ˈkʰʏr
kurt,                 ˈkʰʏr̥t
kurteis,               ˈkʰʏr̥teis
kurteisi,              ˈkʰʏr̥teisɪ
kurteisir,             ˈkʰʏr̥teisɪr
kurteisishjal,         ˈkʰʏr̥teisɪsçaːl
kurteislega,           ˈkʰʏr̥teistlɛɣa
kurteislegt,           ˈkʰʏr̥teistlɛxt
kusk,                 ˈkʰʏsk
kusu,                 ˈkʰʏːsʏ
kuta,                 ˈkʰʏːta
kuðung,                ˈkʰʏːðuŋk
kva,                  ˈkʰva
kvaddi,                ˈkʰvatɪ
kvaddir,               ˈkʰvatɪr
kvaddur,               ˈkʰvatʏr
kvak,                 ˈkʰvak
kvaka,                ˈkʰvaːka
kvalabölvunin,         ˈkʰvaːlapœlvʏnɪn
kvalalosta,            ˈkʰvaːlalɔsta
kvalastillandi,        ˈkʰvaːlastɪtlantɪ
kvaldi,                ˈkʰvaltɪ
kvalinn,               ˈkʰvaːlɪn
kvalir,                ˈkʰvaːlɪr
kvalirnar,             ˈkʰvaːlɪrtnar
kvaliteti,             ˈkʰvaːlɪtʰɛːtɪ
kvalið,                ˈkʰvaːlɪð
kvalræði,             ˈkʰvalraiðɪ
kvaran,                ˈkʰvaːran
kvars,                ˈkʰvar̥s
kvarta,                ˈkʰvar̥ta
kvartanir,             ˈkʰvar̥tanɪr
kvartar,               ˈkʰvar̥tar
kvartað,               ˈkʰvar̥tað
kvartaði,              ˈkʰvar̥taðɪ
kvartaðir,             ˈkʰvar̥taðɪr
kvartett,              ˈkʰvar̥tɛht
kvartettinn,           ˈkʰvar̥tɛhtɪn
kvartettinum,          ˈkʰvar̥tɛhtɪnʏm
kvartettsins,          ˈkʰvar̥tɛhtsɪns
kvartmíluklúbbsins,    ˈkʰvar̥tmilʏkʰlupsɪns
kvarða,                ˈkʰvarða
kvatt,                ˈkʰvaht
kvað,                 ˈkʰvaːð
kvaðir,                ˈkʰvaːðɪr
kvaðratsútreikningum,  ˈkʰvaðratsuːtreihkniŋkʏm
kvaðst,                ˈkʰvaðst
kvef,                 ˈkʰvɛːv
kvefaður,              ˈkʰvɛːvaðʏr
kvefinu,               ˈkʰvɛːvɪnʏ
kvefpest,             ˈkʰvɛvpʰɛst
kveiki,                ˈkʰveiːcɪ
kveikinn,              ˈkʰveiːcɪn
kveikir,               ˈkʰveiːcɪr
kveikja,               ˈkʰveiːca
kveikjan,              ˈkʰveiːcan
kveikjara,             ˈkʰveiːcara
kveikjarann,           ˈkʰveiːcaran
kveikjaranum,          ˈkʰveiːcaranʏm
kveikt,                ˈkʰveixt
kveikti,               ˈkʰveixtɪ
kveiktu,               ˈkʰveixtʏ
kveiktum,              ˈkʰveixtʏm
kvein,                ˈkʰveiːn
kveina,                ˈkʰveiːna
kveinandi,             ˈkʰveiːnantɪ
kveinar,               ˈkʰveiːnar
kveinkaði,             ˈkʰveiŋ̊kaðɪ
kveinstafi,            ˈkʰveinstavɪ
kveið,                ˈkʰveiːð
kveldi,                ˈkʰvɛltɪ
kveldum,               ˈkʰvɛltʏm
kveldúlf,              ˈkʰvɛltulv
kveldúlfs,             ˈkʰvɛltuls
kvelur,                ˈkʰvɛːlʏr
kvendýrsins,           ˈkʰvɛntir̥sɪns
kvenfatalínunni,     ˈkʰvɛnfataliːnʏnɪ
kvenfélag,            ˈkʰvɛnfjɛlaɣ
kvenfélagi,            ˈkʰvɛnfjɛlaijɪ
kvenfélagið,           ˈkʰvɛnfjɛlaijɪð
kvenfélags,            ˈkʰvɛnfjɛlaxs
kvenfélagsins,         ˈkʰvɛnfjɛlaxsɪns
kvenfólk,             ˈkʰvɛnfoul̥k
kvenfólkinu,           ˈkʰvɛnfoul̥cɪnʏ
kvenfólkið,            ˈkʰvɛnfoul̥cɪð
kvenhormónum,          ˈkʰvɛnhɔrmounʏm
kvenhylli,            ˈkʰvɛnhɪtlɪ
kvenkyn,              ˈkʰvɛncʰɪn
kvenkynið,             ˈkʰvɛncʰɪnɪð
kvenkyns,              ˈkʰvɛncʰɪns
kvenkynsnafnorð,       ˈkʰvɛɲcʰɪnstnapnɔrð
kvenleg,               ˈkʰvɛnlɛɣ
kvenlega,              ˈkʰvɛnlɛɣa
kvenlegt,              ˈkʰvɛnlɛxt
kvenlegu,              ˈkʰvɛnlɛɣʏ
kvenlegur,             ˈkʰvɛnlɛɣʏr
kvenlækningadeild,     ˈkʰvɛnlaihkniŋkateilt
kvenlíkamann,          ˈkʰvɛnlikaman
kvenlíkami,            ˈkʰvɛnlikamɪ
kvenmanni,             ˈkʰvɛnmanɪ
kvenmannsrödd,         ˈkʰvɛnmansrœt
kvenmaður,            ˈkʰvɛnmaðʏr
kvenna,                ˈkʰvɛna
kvennaathvarf,         ˈkʰvɛnaatkʰvarv
kvennadagurinn,        ˈkʰvɛnataːɣʏrɪn
kvennadeild,           ˈkʰvɛnateilt
kvennafar,            ˈkʰvɛnafaːr
kvennafari,            ˈkʰvɛnafaːrɪ
kvennaflokki,          ˈkʰvɛnaflɔhcɪ
kvennafræðum,          ˈkʰvɛnafraiːðʏm
kvennafrí,             ˈkʰvɛnafriː
kvennagull,           ˈkʰvɛnakʏtl̥
kvennakór,            ˈkʰvɛnakʰouːr
kvennalandsliðið,      ˈkʰvɛnalantstlɪðɪð
kvennalið,             ˈkʰvɛnalɪːð
kvennaliðs,            ˈkʰvɛnalɪðs
kvennamálum,           ˈkʰvɛnamauːlʏm
kvennanna,             ˈkʰvɛnana
kvennarannsóknir,      ˈkʰvɛnaransouhknɪr
kvennareið,            ˈkʰvɛnareiːð
kvennaráðgjöfin,       ˈkʰvɛnarauðcœvɪn
kvennaskólann,         ˈkʰvɛnaskouːlan
kvennaskólanum,        ˈkʰvɛnaskouːlanʏm
kvennasveitir,         ˈkʰvɛnasveiːtɪr
kvennasögusafni,       ˈkʰvɛnasœɣʏsapnɪ
kvenréttindadeginum,   ˈkʰvɛnrjɛhtɪntateiːɪnʏm
kvenrödd,              ˈkʰvɛnrœt
kvenskrúða,            ˈkʰvɛnskruða
kvenþjóðin,            ˈkʰvɛnθjouðɪn
kver,                 ˈkʰvɛːr
kverkar,               ˈkʰvɛr̥kar
kverkfjöll,            ˈkʰvɛr̥kfjœtl̥
kveð,                 ˈkʰvɛːð
kveða,                ˈkʰvɛːða
kveði,                ˈkʰvɛːðɪ
kveðin,                ˈkʰvɛːðɪn
kveðinn,               ˈkʰvɛːðɪn
kveðið,                ˈkʰvɛːðɪð
kveðja,                ˈkʰvɛðja
kveðjast,              ˈkʰvɛðjast
kveðju,                ˈkʰvɛðjʏ
kveðjum,               ˈkʰvɛðjʏm
kveðjumst,             ˈkʰvɛðjʏmst
kveðjuna,              ˈkʰvɛðjʏna
kveðjunni,             ˈkʰvɛðjʏnɪ
kveðjuorð,             ˈkʰvɛðjʏɔrð
kveðjur,               ˈkʰvɛðjʏr
kveðjurnar,            ˈkʰvɛðjʏrtnar
kveðjustund,           ˈkʰvɛðjʏstʏnt
kveðjustundin,         ˈkʰvɛðjʏstʏntɪn
kveðjustundinni,       ˈkʰvɛðjʏstʏntɪnɪ
kveðskap,              ˈkʰvɛðskap
kveðskapur,            ˈkʰvɛðskapʏr
kveðskapurinn,         ˈkʰvɛðskapʏrɪn
kveðst,                ˈkʰvɛðst
kveður,                ˈkʰvɛːðʏr
kvikfé,               ˈkʰvɪːkfjɛ
kvikindi,              ˈkʰvɪːcɪntɪ
kvikindin,             ˈkʰvɪːcɪntɪn
kvikindinu,            ˈkʰvɪːcɪntɪnʏ
kvikindislega,         ˈkʰvɪːcɪntɪstlɛɣa
kvikindið,             ˈkʰvɪːcɪntɪð
kvikindum,             ˈkʰvɪːcɪntʏm
kvikmynd,             ˈkʰvɪːkmɪnt
kvikmynda,            ˈkʰvɪːkmɪnta
kvikmyndaborginni,     ˈkʰvɪːkmɪntapɔrcɪnɪ
kvikmyndafyrirtækið,   ˈkʰvɪːkmɪntafɪːrɪrtʰaicɪð
kvikmyndagerð,        ˈkʰvɪːkmɪntacɛrð
kvikmyndagerðar,       ˈkʰvɪːkmɪntacɛrðar
kvikmyndagerðarmanna,  ˈkʰvɪːkmɪntacɛrðarmana
kvikmyndagerðarmaður,  ˈkʰvɪːkmɪntacɛrðarmaːðʏr
kvikmyndagerðarmenn,   ˈkʰvɪːkmɪntacɛrðarmɛn
kvikmyndagerðarmönnum, ˈkʰvɪːkmɪntacɛrðarmœnʏm
kvikmyndahandrit,     ˈkʰvɪːkmɪntahantrɪt
kvikmyndaheiminum,     ˈkʰvɪːkmɪntaheiːmɪnʏm
kvikmyndahátíð,        ˈkʰvɪːkmɪntahauːtʰið
kvikmyndahátíðinni,    ˈkʰvɪːkmɪntahauːtʰiðɪnɪ
kvikmyndahátíðum,      ˈkʰvɪːkmɪntahauːtʰiðʏm
kvikmyndahús,          ˈkʰvɪːkmɪntahuːs
kvikmyndahúsi,         ˈkʰvɪːkmɪntahuːsɪ
kvikmyndahúsin,        ˈkʰvɪːkmɪntahuːsɪn
kvikmyndahúsum,        ˈkʰvɪːkmɪntahuːsʏm
kvikmyndaleikstjóranum,   ˈkʰvɪːkmɪntaleiːkstjouranʏm
kvikmyndaleikstjóri,   ˈkʰvɪːkmɪntaleikstjourɪ
kvikmyndanna,          ˈkʰvɪːkmɪntana
kvikmyndar,            ˈkʰvɪːkmɪntar
kvikmyndarinnar,       ˈkʰvɪːkmɪntarɪnar
kvikmyndasafn,         ˈkʰvɪːkmɪntasapn̥
kvikmyndasjóði,        ˈkʰvɪːkmɪntasjouːðɪ
kvikmyndasjóðs,        ˈkʰvɪːkmɪntasjouðs
kvikmyndaskoðun,       ˈkʰvɪːkmɪntaskɔːðʏn
kvikmyndastjarna,     ˈkʰvɪːkmɪntastjartna
kvikmyndastjörnur,     ˈkʰvɪːkmɪntastjœrtnʏr
kvikmyndasögunnar,     ˈkʰvɪːkmɪntasœːɣʏnar
kvikmyndasögunni,      ˈkʰvɪːkmɪntasœːɣʏnɪ
kvikmyndasýningar,     ˈkʰvɪːkmɪntasiːniŋkar
kvikmyndatónlist,      ˈkʰvɪːkmɪntatʰounlɪst
kvikmyndatöku,         ˈkʰvɪːkmɪntatʰœːkʏ
kvikmyndavinnu,        ˈkʰvɪːkmɪntavɪnʏ
kvikmyndin,            ˈkʰvɪːkmɪntɪn
kvikmyndina,           ˈkʰvɪːkmɪntɪna
kvikmyndinni,          ˈkʰvɪːkmɪntɪnɪ
kvikmyndir,            ˈkʰvɪːkmɪntɪr
kvikmyndirnar,         ˈkʰvɪːkmɪntɪrtnar
kvikmyndum,            ˈkʰvɪːkmɪntʏm
kvikmyndunum,          ˈkʰvɪːkmɪntɔnʏm
kvikmynduð,            ˈkʰvɪːkmɪntʏð
kvikna,                ˈkʰvɪhkna
kviknakin,             ˈkʰvɪːknaːcɪn
kviknar,               ˈkʰvɪhknar
kviknað,               ˈkʰvɪhknað
kviknaði,              ˈkʰvɪhknaðɪ
kviksyndi,            ˈkʰvɪːksɪntɪ
kvikt,                ˈkʰvɪxt
kviku,                ˈkʰvɪːkʏ
kvikur,                ˈkʰvɪːkʏr
kvilla,                ˈkʰvɪtla
kvilli,                ˈkʰvɪtlɪ
kvillum,               ˈkʰvɪtlʏm
kvintett,              ˈkʰvɪn̥tɛht
kvisaðist,             ˈkʰvɪːsaðɪst
kvist,                ˈkʰvɪst
kvista,                ˈkʰvɪsta
kvistfelli,            ˈkʰvɪstfɛtlɪ
kvistgluggann,         ˈkʰvɪstklʏkan
kvisti,                ˈkʰvɪstɪ
kvistill,              ˈkʰvɪstɪtl̥
kvistir,               ˈkʰvɪstɪr
kvistum,               ˈkʰvɪstʏm
kvitt,                ˈkʰvɪht
kvitta,                ˈkʰvɪhta
kvittanir,             ˈkʰvɪhtanɪr
kvittaði,              ˈkʰvɪhtaðɪ
kvittun,               ˈkʰvɪhtʏn
kvittunina,            ˈkʰvɪhtʏnɪna
kvittuninni,           ˈkʰvɪhtʏnɪnɪ
kvittur,               ˈkʰvɪhtʏr
kvið,                 ˈkʰvɪːð
kviðarholsátfrumur,    ˈkʰvɪːðarhɔlsauːtfrʏmʏr
kviði,                ˈkʰvɪːðɪ
kviðinn,               ˈkʰvɪːðɪn
kviðið,                ˈkʰvɪːðɪð
kviðnum,               ˈkʰvɪðnʏm
kviðsjár,              ˈkʰvɪðsjaur
kviðskilun,            ˈkʰvɪðscɪlʏn
kviður,                ˈkʰvɪːðʏr
kviðurinn,             ˈkʰvɪːðʏrɪn
kvos,                 ˈkʰvɔːs
kvosinni,              ˈkʰvɔːsɪnɪ
kváðu,                ˈkʰvauːðʏ
kváðust,               ˈkʰvauːðʏst
kvænast,               ˈkʰvaiːnast
kvænist,               ˈkʰvaiːnɪst
kvænst,                ˈkʰvainst
kvæntist,              ˈkʰvain̥tɪst
kvæntur,               ˈkʰvain̥tʏr
kvæði,                ˈkʰvaiːðɪ
kvæðin,                ˈkʰvaiːðɪn
kvæðinu,               ˈkʰvaiːðɪnʏ
kvæðisins,             ˈkʰvaiːðɪsɪns
kvæðið,                ˈkʰvaiːðɪð
kvæðum,                ˈkʰvaiːðʏm
kví,                  ˈkʰviː
kvíaeldi,              ˈkʰviːjaɛltɪ
kvíar,                ˈkʰviːjar
kvíarnar,              ˈkʰviːjartnar
kvíslast,              ˈkʰvistlast
kvíslaðist,            ˈkʰvistlaðɪst
kvíum,                ˈkʰviːjʏm
kvíða,                ˈkʰviːða
kvíðafull,             ˈkʰviːðafʏtl̥
kvíðafullur,          ˈkʰviːðafʏtlʏr
kvíðann,               ˈkʰviːðan
kvíðanum,              ˈkʰviːðanʏm
kvíðboga,              ˈkʰviðpɔɣa
kvóta,                ˈkʰvouːta
kvótakerfi,           ˈkʰvouːtacʰɛrvɪ
kvótakerfinu,          ˈkʰvouːtacʰɛrvɪnʏ
kvótakerfis,           ˈkʰvouːtacʰɛrvɪs
kvótakerfisins,        ˈkʰvouːtacʰɛrvɪsɪns
kvótakerfið,           ˈkʰvouːtacʰɛrvɪð
kvótann,               ˈkʰvouːtan
kvótans,               ˈkʰvouːtans
kvótanum,              ˈkʰvouːtanʏm
kvótar,                ˈkʰvouːtar
kvótasetningu,         ˈkʰvouːtasɛhtniŋkʏ
kvótasölu,             ˈkʰvouːtasœːlʏ
kvóti,                ˈkʰvouːtɪ
kvótinn,               ˈkʰvouːtɪn
kvótum,                ˈkʰvouːtʏm
kvödd,                ˈkʰvœt
kvöddu,                ˈkʰvœtʏ
kvöddum,               ˈkʰvœtʏm
kvöddumst,             ˈkʰvœtʏmst
kvökuðu,               ˈkʰvœːkʏðʏ
kvöl,                 ˈkʰvœːl
kvöld,                ˈkʰvœlt
kvölda,                ˈkʰvœlta
kvöldaði,              ˈkʰvœltaðɪ
kvöldblaðanna,         ˈkʰvœltplaðana
kvöldblaði,            ˈkʰvœltplaðɪ
kvöldblaðinu,          ˈkʰvœltplaðɪnʏ
kvöldblaðið,           ˈkʰvœltplaðɪð
kvöldblæinn,           ˈkʰvœltplaijɪn
kvöldblöðin,           ˈkʰvœltplœðɪn
kvöldbænir,            ˈkʰvœltpainɪr
kvöldfréttir,         ˈkʰvœltfrjɛhtɪr
kvöldfyrirlestrum,     ˈkʰvœltfɪrɪrlɛstrʏm
kvöldgestir,           ˈkʰvœltcɛstɪr
kvöldgöngu,            ˈkʰvœltkœiŋkʏ
kvöldheimsókn,         ˈkʰvœltheimsouhkn̥
kvöldhúmið,            ˈkʰvœlthumɪð
kvöldi,                ˈkʰvœltɪ
kvöldin,               ˈkʰvœltɪn
kvöldinu,              ˈkʰvœltɪnʏ
kvöldið,               ˈkʰvœltɪð
kvöldkjólum,           ˈkʰvœltcʰoulʏm
kvöldlagi,             ˈkʰvœltlaijɪ
kvöldljós,             ˈkʰvœltljous
kvöldmat,              ˈkʰvœltmat
kvöldmatarleytið,      ˈkʰvœltmatarleiːtɪð
kvöldmatinn,           ˈkʰvœltmatɪn
kvöldmatnum,           ˈkʰvœltmahtnʏm
kvöldmatur,           ˈkʰvœltmatʏr
kvöldmessa,            ˈkʰvœltmɛsa
kvöldmáltíð,          ˈkʰvœltmaultʰiːð
kvöldmáltíðin,         ˈkʰvœltmaultʰiːðɪn
kvölds,                ˈkʰvœlts
kvöldsins,             ˈkʰvœltsɪns
kvöldstund,            ˈkʰvœltstʏnt
kvöldsólin,            ˈkʰvœltsoulɪn
kvöldsólinni,          ˈkʰvœltsoulɪnɪ
kvöldtónar,            ˈkʰvœltʰounar
kvöldum,               ˈkʰvœltʏm
kvöldvaka,            ˈkʰvœltvaka
kvöldvakt,             ˈkʰvœltvaxt
kvöldveislu,           ˈkʰvœltveistlʏ
kvöldverð,             ˈkʰvœltvɛrð
kvöldverðar,           ˈkʰvœltvɛrðar
kvöldverðarborðið,     ˈkʰvœltvɛrðapɔrðɪð
kvöldverði,            ˈkʰvœltvɛrðɪ
kvöldverðinn,          ˈkʰvœltvɛrðɪn
kvöldverður,          ˈkʰvœltvɛrðʏr
kvöldverðurinn,        ˈkʰvœltvɛrðʏrɪn
kvörn,                ˈkʰvœrtn̥
kvörtun,               ˈkʰvœr̥tʏn
kvörtunar,             ˈkʰvœr̥tʏnar
kvörtunum,             ˈkʰvœr̥tʏnʏm
kvörtuðu,              ˈkʰvœr̥tʏðʏ
kvöð,                 ˈkʰvœːð
kvöðum,                ˈkʰvœːðʏm
kylfinga,              ˈcʰɪlviŋka
kylfingar,             ˈcʰɪlviŋkar
kylfingum,             ˈcʰɪlviŋkʏm
kylfingur,             ˈcʰɪlviŋkʏr
kylfu,                ˈcʰɪlvʏ
kylfulengdir,          ˈcʰɪlvʏleiŋtɪr
kylfum,                ˈcʰɪlvʏm
kylfunni,              ˈcʰɪlvʏnɪ
kylfusvein,            ˈcʰɪlvʏsveiːn
kylliflatur,          ˈcʰɪtlɪflaːtʏr
kyn,                  ˈcʰɪːn
kynbundið,             ˈcʰɪmpʏntɪð
kynbótahross,          ˈcʰɪmpoutar̥ɔs
kynbótahrossa,         ˈcʰɪnpoutar̥ɔsa
kynbótanefnd,          ˈcʰɪmpoutanɛmt
kynbótarækt,           ˈcʰɪmpoutaraixt
kynbótastarf,          ˈcʰɪmpoutastarv
kynbótastöð,           ˈcʰɪmpoutastœːð
kynda,                ˈcʰɪnta
kyndil,                ˈcʰɪntɪl
kyndilinn,             ˈcʰɪntɪlɪn
kyndli,                ˈcʰɪntlɪ
kyndlinum,             ˈcʰɪntlɪnʏm
kyndlum,               ˈcʰɪntlʏm
kynferði,             ˈcʰɪnfɛrðɪ
kynferðileg,           ˈcʰɪnfɛrðɪlɛːɣ
kynferðis,             ˈcʰɪnfɛrðɪs
kynferðisbrot,        ˈcʰɪnfɛrðɪsprɔːt
kynferðisleg,          ˈcʰɪnfɛrðɪstlɛɣ
kynferðislega,         ˈcʰɪnfɛrðɪstlɛɣa
kynferðislegri,        ˈcʰɪnfɛrðɪstlɛɣrɪ
kynferðislegs,         ˈcʰɪnfɛrðɪstlɛxs
kynferðislegt,         ˈcʰɪnfɛrðɪstlɛxt
kynferðislegu,         ˈcʰɪnfɛrðɪstlɛɣʏ
kynferðisofbeldi,      ˈcʰɪnfɛrðɪsɔvpɛltɪ
kynfræðslu,            ˈcʰɪnfraiðstlʏ
kynfæri,              ˈcʰɪnfairɪ
kynfærin,              ˈcʰɪnfairɪn
kyngdi,                ˈcʰiŋtɪ
kyngi,                ˈcʰiɲcɪ
kyngir,                ˈcʰiɲcɪr
kyngja,                ˈcʰiɲca
kyngt,                ˈcʰiŋ̊t
kynhegðunar,           ˈcʰɪːnhɛɣðʏnar
kynhneigð,            ˈcʰɪːn̥eiɣð
kynhreina,             ˈcʰɪːnr̥eina
kynhverfa,             ˈcʰɪːŋkʰvɛrva
kynhvöt,              ˈcʰɪnkʰvœt
kynhvötina,            ˈcʰɪːŋkʰvœtɪna
kynhvötinni,           ˈcʰɪːŋkʰvœtɪnɪ
kyni,                 ˈcʰɪːnɪ
kynin,                ˈcʰɪːnɪn
kyninu,                ˈcʰɪːnɪnʏ
kynið,                ˈcʰɪːnɪð
kynja,                ˈcʰɪnja
kynjadýr,             ˈcʰɪnjatiːr
kynjanna,              ˈcʰɪnjana
kynjum,                ˈcʰɪnjʏm
kynkvíslum,            ˈcʰɪŋkʰvistlʏm
kynleg,                ˈcʰɪnlɛɣ
kynlegs,               ˈcʰɪːnlɛxs
kynlegu,               ˈcʰɪnlɛɣʏ
kynlegur,              ˈcʰɪnlɛɣʏr
